Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
mainsuite_QA_02_NES_N1799,Chrome 66.0.3359.181,,2018-06-01 10:48:28,2018-06-01 10:48:55,27.256s,PASSED
,,,,,,
Test Cases/regression_02_NES_N1799,Chrome 66.0.3359.181,,2018-06-01 10:48:29,2018-06-01 10:48:55,26.093s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-01 10:48:30,2018-06-01 10:48:42,12.528s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-01 10:48:42,2018-06-01 10:48:48,5.697s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-01 10:48:48,2018-06-01 10:48:49,1.258s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:49,2018-06-01 10:48:50,0.446s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:50,2018-06-01 10:48:50,0.222s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:50,2018-06-01 10:48:50,0.101s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:50,2018-06-01 10:48:50,0.167s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:50,2018-06-01 10:48:51,0.240s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:51,2018-06-01 10:48:51,0.193s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:51,2018-06-01 10:48:51,0.078s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:51,2018-06-01 10:48:51,0.066s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:51,2018-06-01 10:48:51,0.085s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:51,2018-06-01 10:48:51,0.048s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:51,2018-06-01 10:48:51,0.075s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:51,2018-06-01 10:48:51,0.074s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:48:51,2018-06-01 10:48:51,0.209s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-06-01 10:48:51,2018-06-01 10:48:55,3.762s,PASSED
