Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
all_envs,Chrome 66.0.3359.181,,2018-06-20 16:19:21,2018-06-20 16:19:43,22.700s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 66.0.3359.181,,2018-06-20 16:19:22,2018-06-20 16:19:43,21.483s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-20 16:19:23,2018-06-20 16:19:33,10.303s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-20 16:19:33,2018-06-20 16:19:40,6.592s,PASSED
click,Chrome 66.0.3359.181,,2018-06-20 16:19:40,2018-06-20 16:19:40,0.286s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:40,2018-06-20 16:19:40,0.126s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:40,2018-06-20 16:19:40,0.083s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:40,2018-06-20 16:19:40,0.063s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:40,2018-06-20 16:19:40,0.107s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:40,2018-06-20 16:19:40,0.071s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:40,2018-06-20 16:19:40,0.100s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:40,2018-06-20 16:19:41,0.116s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.141s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.043s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.058s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.060s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.061s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.043s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.076s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.073s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.059s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.044s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.054s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.052s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.041s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.048s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:41,0.067s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:41,2018-06-20 16:19:42,0.039s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:42,2018-06-20 16:19:42,0.112s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:42,2018-06-20 16:19:42,0.129s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:42,2018-06-20 16:19:42,0.108s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:19:42,2018-06-20 16:19:42,0.133s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-06-20 16:19:42,2018-06-20 16:19:43,1.324s,PASSED
