Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IE,IE 11,,2018-06-21 16:25:10,2018-06-21 16:25:22,11.983s,FAILED
,,,,,,
Test Cases/regg,IE 11,,2018-06-21 16:25:11,2018-06-21 16:25:22,10.871s,FAILED
openBrowser,IE 11,,2018-06-21 16:25:12,2018-06-21 16:25:19,6.850s,PASSED
navigateToUrl,IE 11,,2018-06-21 16:25:19,2018-06-21 16:25:19,0.443s,PASSED
verifyElementPresent,IE 11,,2018-06-21 16:25:19,2018-06-21 16:25:21,1.384s,FAILED
verifyElementPresent,IE 11,,2018-06-21 16:25:21,2018-06-21 16:25:21,0.059s,FAILED
verifyElementPresent,IE 11,,2018-06-21 16:25:21,2018-06-21 16:25:21,0.052s,FAILED
verifyElementPresent,IE 11,,2018-06-21 16:25:21,2018-06-21 16:25:21,0.060s,FAILED
verifyElementPresent,IE 11,,2018-06-21 16:25:21,2018-06-21 16:25:21,0.065s,FAILED
verifyElementPresent,IE 11,,2018-06-21 16:25:21,2018-06-21 16:25:21,0.059s,FAILED
closeBrowser,IE 11,,2018-06-21 16:25:21,2018-06-21 16:25:22,0.565s,PASSED
