Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
all,Firefox 54.0,,2018-06-29 15:30:43,2018-06-29 15:31:15,32.043s,PASSED
,,,,,,
Test Cases/regg,Firefox 54.0,,2018-06-29 15:30:44,2018-06-29 15:31:15,31.043s,PASSED
openBrowser,Firefox 54.0,,2018-06-29 15:30:44,2018-06-29 15:31:04,19.249s,PASSED
navigateToUrl,Firefox 54.0,,2018-06-29 15:31:04,2018-06-29 15:31:11,7.669s,PASSED
click,Firefox 54.0,,2018-06-29 15:31:11,2018-06-29 15:31:13,1.347s,PASSED
click,Firefox 54.0,,2018-06-29 15:31:13,2018-06-29 15:31:13,0.396s,PASSED
click,Firefox 54.0,,2018-06-29 15:31:13,2018-06-29 15:31:13,0.507s,PASSED
closeBrowser,Firefox 54.0,,2018-06-29 15:31:13,2018-06-29 15:31:15,1.134s,PASSED
