Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
all,Chrome 66.0.3359.181,,2018-06-29 15:30:43,2018-06-29 15:30:55,12.658s,PASSED
,,,,,,
Test Cases/regg,Chrome 66.0.3359.181,,2018-06-29 15:30:44,2018-06-29 15:30:55,11.647s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-29 15:30:44,2018-06-29 15:30:50,5.736s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-29 15:30:50,2018-06-29 15:30:53,3.338s,PASSED
click,Chrome 66.0.3359.181,,2018-06-29 15:30:53,2018-06-29 15:30:54,0.344s,PASSED
click,Chrome 66.0.3359.181,,2018-06-29 15:30:54,2018-06-29 15:30:54,0.115s,PASSED
click,Chrome 66.0.3359.181,,2018-06-29 15:30:54,2018-06-29 15:30:54,0.152s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-06-29 15:30:54,2018-06-29 15:30:55,1.217s,PASSED
