Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
chrome,Chrome 66.0.3359.181,,2018-06-21 16:25:09,2018-06-21 16:25:23,14.167s,PASSED
,,,,,,
Test Cases/regg,Chrome 66.0.3359.181,,2018-06-21 16:25:09,2018-06-21 16:25:23,13.431s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-21 16:25:11,2018-06-21 16:25:17,6.569s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-21 16:25:17,2018-06-21 16:25:21,3.367s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-21 16:25:21,2018-06-21 16:25:21,0.171s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-21 16:25:21,2018-06-21 16:25:21,0.083s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-21 16:25:21,2018-06-21 16:25:21,0.062s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-21 16:25:21,2018-06-21 16:25:21,0.059s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-21 16:25:21,2018-06-21 16:25:21,0.099s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-21 16:25:21,2018-06-21 16:25:21,0.031s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-06-21 16:25:21,2018-06-21 16:25:23,1.833s,PASSED
