Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
all_env,Chrome 66.0.3359.181,,2018-06-19 21:22:19,2018-06-19 21:22:32,12.936s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 66.0.3359.181,,2018-06-19 21:22:20,2018-06-19 21:22:32,12.321s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-19 21:22:20,2018-06-19 21:22:27,7.059s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-19 21:22:27,2018-06-19 21:22:29,1.948s,PASSED
click,Chrome 66.0.3359.181,,2018-06-19 21:22:29,2018-06-19 21:22:30,0.792s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:30,2018-06-19 21:22:30,0.063s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:30,2018-06-19 21:22:30,0.049s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:30,2018-06-19 21:22:30,0.052s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:30,2018-06-19 21:22:30,0.048s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:30,2018-06-19 21:22:30,0.058s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:30,2018-06-19 21:22:30,0.047s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:30,2018-06-19 21:22:31,0.041s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:31,2018-06-19 21:22:31,0.071s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:31,2018-06-19 21:22:31,0.060s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:31,2018-06-19 21:22:31,0.051s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:31,2018-06-19 21:22:31,0.046s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:31,2018-06-19 21:22:31,0.056s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:31,2018-06-19 21:22:31,0.053s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 21:22:31,2018-06-19 21:22:31,0.044s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-06-19 21:22:31,2018-06-19 21:22:32,1.191s,PASSED
