Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
mainsuite_QA_02_NES_N1799,Chrome 66.0.3359.181,,2018-06-01 10:06:20,2018-06-01 10:06:42,21.146s,ERROR
,,,,,,
Test Cases/regression_02_NES_N1799,Chrome 66.0.3359.181,,2018-06-01 10:06:22,2018-06-01 10:06:40,18.102s,ERROR
openBrowser,Chrome 66.0.3359.181,,2018-06-01 10:06:22,2018-06-01 10:06:33,10.450s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-01 10:06:33,2018-06-01 10:06:38,4.948s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-01 10:06:38,2018-06-01 10:06:39,1.216s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:06:39,2018-06-01 10:06:39,0.276s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:06:39,2018-06-01 10:06:39,0.091s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:06:39,2018-06-01 10:06:40,0.077s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:06:40,2018-06-01 10:06:40,0.171s,PASSED
click,Chrome 66.0.3359.181,,2018-06-01 10:06:40,2018-06-01 10:06:40,0.009s,PASSED
